Date,Open,High,Low,Close,Adj Close,Volume
2017-09-17,0.025794,0.030228,0.022597,0.024739,0.024739,688849
2017-09-18,0.024788,0.045483,0.023502,0.024580,0.024580,378063
2017-09-19,0.024657,0.031314,0.016159,0.018237,0.018237,181704
2017-09-20,0.018221,0.024130,0.018157,0.022722,0.022722,270725
2017-09-21,0.022643,0.067256,0.018324,0.019851,0.019851,388625
2017-09-22,0.019982,0.026611,0.018581,0.018610,0.018610,277907
2017-09-23,0.018566,0.018922,0.018051,0.018695,0.018695,235828
2017-09-24,0.018695,0.018787,0.013802,0.014441,0.014441,287243
2017-09-25,0.014452,0.030164,0.011890,0.015587,0.015587,430900
2017-09-26,0.015623,0.016184,0.013275,0.015256,0.015256,383967
2017-09-27,0.015235,0.016018,0.014043,0.015719,0.015719,311665
2017-09-28,0.015718,0.017640,0.015093,0.016305,0.016305,334318
2017-09-29,0.016285,0.016314,0.014370,0.014464,0.014464,323597
2017-09-30,0.014454,0.015196,0.013998,0.014320,0.014320,253371
2017-10-01,0.014318,0.017616,0.013920,0.013947,0.013947,251323
2017-10-02,0.013945,0.017518,0.012673,0.013113,0.013113,357266
2017-10-03,0.013102,0.016671,0.013065,0.013968,0.013968,414285
2017-10-04,0.014024,0.014273,0.013816,0.013979,0.013979,214878
2017-10-05,0.014004,0.014833,0.013853,0.014462,0.014462,240713
2017-10-06,0.014465,0.014725,0.013815,0.014412,0.014412,282123
2017-10-07,0.014403,0.014510,0.013860,0.014457,0.014457,203767
2017-10-08,0.014403,0.014555,0.013121,0.013406,0.013406,199540
2017-10-09,0.014499,0.014526,0.009842,0.010087,0.010087,314901
2017-10-10,0.010135,0.011564,0.010079,0.011485,0.011485,233675
2017-10-11,0.011494,0.011541,0.010811,0.010836,0.010836,225843
2017-10-12,0.010404,0.016748,0.009750,0.009773,0.009773,290955
2017-10-13,0.009747,0.017108,0.007883,0.017108,0.017108,469195
2017-10-14,0.018361,0.028700,0.018361,0.019943,0.019943,17462400
2017-10-15,0.019661,0.019889,0.012735,0.013820,0.013820,3427730
2017-10-16,0.013775,0.015206,0.011641,0.012353,0.012353,1971230
2017-10-17,0.012362,0.012975,0.010928,0.010928,0.010928,925906
2017-10-18,0.010928,0.011041,0.010076,0.010941,0.010941,557323
2017-10-19,0.010970,0.013920,0.010906,0.013180,0.013180,1080690
2017-10-20,0.013084,0.013192,0.011641,0.012011,0.012011,847098
2017-10-21,0.011998,0.012099,0.009665,0.010221,0.010221,606592
2017-10-22,0.010248,0.010303,0.008798,0.008905,0.008905,513460
2017-10-23,0.008949,0.009587,0.008525,0.008825,0.008825,532807
2017-10-24,0.008857,0.012584,0.008681,0.010517,0.010517,1172290
2017-10-25,0.010445,0.011782,0.010258,0.010619,0.010619,769050
2017-10-26,0.010610,0.010833,0.009870,0.009870,0.009870,458604
2017-10-27,0.010074,0.010331,0.009841,0.010062,0.010062,321159
2017-10-28,0.010079,0.010410,0.009899,0.010146,0.010146,317638
2017-10-29,0.010138,0.010705,0.010044,0.010142,0.010142,374193
2017-10-30,0.010128,0.010243,0.009655,0.009864,0.009864,351934
2017-10-31,0.009863,0.010037,0.009279,0.009329,0.009329,355861
2017-11-01,0.009324,0.010274,0.009144,0.010231,0.010231,527477
2017-11-02,0.010244,0.010244,0.009042,0.009879,0.009879,402388
2017-11-03,0.010900,0.010987,0.010038,0.010554,0.010554,503432
2017-11-04,0.010616,0.011725,0.010307,0.011510,0.011510,396268
2017-11-05,0.011288,0.013273,0.011228,0.012311,0.012311,552450
2017-11-06,0.012330,0.012669,0.011324,0.012014,0.012014,563483
2017-11-07,0.012018,0.014150,0.011920,0.013552,0.013552,398100
2017-11-08,0.013520,0.017085,0.013294,0.014112,0.014112,1440510
2017-11-09,0.014329,0.016111,0.013886,0.015130,0.015130,653800
2017-11-10,0.015162,0.015734,0.012645,0.012940,0.012940,296429
2017-11-11,0.013201,0.013616,0.011758,0.011979,0.011979,237865
2017-11-12,0.011975,0.011975,0.010125,0.010505,0.010505,242761
2017-11-13,0.010628,0.011660,0.010628,0.011330,0.011330,225836
2017-11-14,0.011343,0.011724,0.011052,0.011419,0.011419,244821
2017-11-15,0.011461,0.012014,0.011398,0.012002,0.012002,283268
2017-11-16,0.012013,0.012595,0.011742,0.011793,0.011793,357512
2017-11-17,0.011729,0.012085,0.011187,0.012028,0.012028,268762
2017-11-18,0.012021,0.013352,0.011435,0.013019,0.013019,370149
2017-11-19,0.012934,0.013975,0.012661,0.013099,0.013099,379424
2017-11-20,0.013092,0.013902,0.012942,0.013047,0.013047,327270
2017-11-21,0.013085,0.014050,0.012427,0.013202,0.013202,507625
2017-11-22,0.013226,0.013792,0.013035,0.013578,0.013578,330170
2017-11-23,0.013584,0.014663,0.013445,0.013840,0.013840,524765
2017-11-24,0.013783,0.019977,0.013465,0.015914,0.015914,3082120
2017-11-25,0.015747,0.016692,0.015158,0.015530,0.015530,818860
2017-11-26,0.015579,0.015924,0.015130,0.015593,0.015593,523645
2017-11-27,0.015604,0.017988,0.015505,0.017101,0.017101,1352180
2017-11-28,0.017111,0.019156,0.016443,0.018012,0.018012,1974130
2017-11-29,0.018168,0.018400,0.014617,0.015028,0.015028,965265
2017-11-30,0.015294,0.016486,0.013759,0.015271,0.015271,674593
2017-12-01,0.015283,0.016258,0.014383,0.016067,0.016067,555175
2017-12-02,0.016068,0.017344,0.015461,0.017071,0.017071,640646
2017-12-03,0.017085,0.018809,0.016420,0.017131,0.017131,898044
2017-12-04,0.017198,0.018302,0.016990,0.018302,0.018302,824746
