# Sample generated by Stan (Variational Bayes)
# stan_version_major=2
# stan_version_minor=18
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=126783017
# chain_id=1
# iter=10000
# grad_samples=1
# elbo_samples=100
# output_samples=1000
# eval_elbo=100
# eta=1
# tol_rel_obj=0.01
# algorithm=meanfield
# sample_file=s_98916.csv
# diagnostic_file=d_98916.csv
# append_samples=0
#
# iter,time_in_seconds,ELBO
100,0.237133,299.452
200,0.474418,1891.62
300,0.714951,2937.26
400,0.955068,3700.28
500,1.19427,4229.74
600,1.43238,4616.22
700,1.67025,4930.93
800,1.90736,5130.67
900,2.15422,5294.36
1000,2.39104,5402.39
1100,2.62742,5479.96
1200,2.86359,5551.13
